Speaker,Start_Time,End_Time,Timestamp_Formatted
SPEAKER_01,0.60471875,7.9790937500000005,[00:00.6 - 00:07.9]
SPEAKER_00,8.19846875,8.687843750000003,[00:08.1 - 00:08.6]
SPEAKER_01,8.687843750000003,11.03346875,[00:08.6 - 00:11.0]
SPEAKER_00,11.03346875,11.05034375,[00:11.0 - 00:11.0]
SPEAKER_00,12.78846875,14.087843750000001,[00:12.7 - 00:14.0]
SPEAKER_01,13.09221875,32.31284375,[00:13.0 - 00:32.3]
SPEAKER_00,30.69284375,30.945968750000002,[00:30.6 - 00:30.9]
SPEAKER_01,32.70096875,53.305343750000006,[00:32.7 - 00:53.3]
SPEAKER_00,49.67721875,50.065343750000004,[00:49.6 - 00:50.0]
SPEAKER_01,53.33909375,73.08284375000001,[00:53.3 - 01:13.0]
SPEAKER_00,72.03659375000001,73.57221875,[01:12.0 - 01:13.5]
SPEAKER_01,73.11659375,90.71721875,[01:13.1 - 01:30.7]
SPEAKER_00,90.71721875,91.05471875,[01:30.7 - 01:31.0]
SPEAKER_01,91.37534375,93.51846875000001,[01:31.3 - 01:33.5]
SPEAKER_00,92.03346875000001,92.97846875,[01:32.0 - 01:32.9]
SPEAKER_01,94.21034375,135.97596875000002,[01:34.2 - 02:15.9]
SPEAKER_00,135.38534375,137.24159375000002,[02:15.3 - 02:17.2]
SPEAKER_01,137.02221875,192.06846875000002,[02:17.0 - 03:12.0]
SPEAKER_00,190.39784375000002,191.08971875,[03:10.3 - 03:11.0]
SPEAKER_01,192.30471875,197.02971875,[03:12.3 - 03:17.0]
SPEAKER_00,192.59159375000002,193.70534375000003,[03:12.5 - 03:13.7]
SPEAKER_01,197.38409375,219.23721875,[03:17.3 - 03:39.2]
SPEAKER_00,219.59159375000002,219.60846875000001,[03:39.5 - 03:39.6]
SPEAKER_01,219.60846875000001,246.94596875000002,[03:39.6 - 04:06.9]
SPEAKER_00,247.08096875,247.09784375,[04:07.0 - 04:07.0]
SPEAKER_01,247.09784375,247.75596875000002,[04:07.0 - 04:07.7]
SPEAKER_00,247.75596875000002,247.97534375,[04:07.7 - 04:07.9]
SPEAKER_01,247.97534375,268.78221875,[04:07.9 - 04:28.7]
SPEAKER_00,261.25596875,261.88034375,[04:21.2 - 04:21.8]
SPEAKER_01,269.20409375,294.46596875,[04:29.2 - 04:54.4]
SPEAKER_00,291.63096875,292.03596875,[04:51.6 - 04:52.0]
SPEAKER_01,294.78659375,333.71721875000003,[04:54.7 - 05:33.7]
SPEAKER_00,334.24034375,334.78034375000004,[05:34.2 - 05:34.7]
SPEAKER_01,334.78034375000004,363.45096875,[05:34.7 - 06:03.4]
SPEAKER_00,335.96159375,336.70409375,[05:35.9 - 05:36.7]
SPEAKER_01,364.21034375000005,372.66471875,[06:04.2 - 06:12.6]
SPEAKER_00,373.96409375,376.96784375000004,[06:13.9 - 06:16.9]
SPEAKER_01,375.36471875,377.92971875,[06:15.3 - 06:17.9]
SPEAKER_00,377.92971875,378.04784375,[06:17.9 - 06:18.0]
SPEAKER_01,378.04784375,382.94159375000004,[06:18.0 - 06:22.9]
SPEAKER_00,383.71784375000004,389.18534375,[06:23.7 - 06:29.1]
SPEAKER_01,389.18534375,389.60721875,[06:29.1 - 06:29.6]
SPEAKER_00,389.84346875,392.20596875,[06:29.8 - 06:32.2]
SPEAKER_01,392.45909375,398.71971875,[06:32.4 - 06:38.7]
SPEAKER_00,399.02346875,405.85784375000003,[06:39.0 - 06:45.8]
SPEAKER_01,403.12409375000004,403.84971875,[06:43.1 - 06:43.8]
SPEAKER_01,405.85784375000003,406.27971875000003,[06:45.8 - 06:46.2]
SPEAKER_00,406.27971875000003,406.60034375000004,[06:46.2 - 06:46.6]
SPEAKER_01,406.60034375000004,414.02534375000005,[06:46.6 - 06:54.0]
SPEAKER_00,414.36284375,416.23596875000004,[06:54.3 - 06:56.2]
SPEAKER_01,415.59471875,416.30346875000004,[06:55.5 - 06:56.3]
SPEAKER_00,416.30346875000004,416.32034375,[06:56.3 - 06:56.3]
SPEAKER_01,416.32034375,420.69096875,[06:56.3 - 07:00.6]
SPEAKER_00,420.69096875,425.07846875,[07:00.6 - 07:05.0]
SPEAKER_01,420.75846875,421.51784375000005,[07:00.7 - 07:01.5]
SPEAKER_01,425.07846875,425.31471875000005,[07:05.0 - 07:05.3]
SPEAKER_00,425.31471875000005,426.76596875,[07:05.3 - 07:06.7]
SPEAKER_01,426.76596875,437.17784375,[07:06.7 - 07:17.1]
SPEAKER_00,436.23284375000003,436.97534375000004,[07:16.2 - 07:16.9]
SPEAKER_01,437.86971875,445.96971875,[07:17.8 - 07:25.9]
SPEAKER_00,445.96971875,446.00346875,[07:25.9 - 07:26.0]
SPEAKER_01,446.00346875,446.10471875,[07:26.0 - 07:26.1]
SPEAKER_00,446.10471875,446.77971875000003,[07:26.1 - 07:26.7]
SPEAKER_01,446.77971875000003,447.03284375000004,[07:26.7 - 07:27.0]
SPEAKER_00,447.03284375000004,447.16784375000003,[07:27.0 - 07:27.1]
SPEAKER_01,447.16784375000003,447.18471875,[07:27.1 - 07:27.1]
SPEAKER_00,447.18471875,447.21846875000006,[07:27.1 - 07:27.2]
SPEAKER_01,447.97784375000003,485.99721875000006,[07:27.9 - 08:05.9]
SPEAKER_00,480.10784375000003,480.32721875000004,[08:00.1 - 08:00.3]
SPEAKER_00,485.99721875000006,489.69284375,[08:05.9 - 08:09.6]
SPEAKER_01,489.50721875000005,492.17346875000004,[08:09.5 - 08:12.1]
SPEAKER_00,491.81909375000004,493.23659375000005,[08:11.8 - 08:13.2]
SPEAKER_01,492.88221875000005,496.02096875,[08:12.8 - 08:16.0]
SPEAKER_00,496.02096875,498.38346875,[08:16.0 - 08:18.3]
SPEAKER_01,499.42971875,499.73346875000004,[08:19.4 - 08:19.7]
SPEAKER_00,500.07096875,511.52909375,[08:20.0 - 08:31.5]
SPEAKER_01,504.52596875000006,506.28096875000006,[08:24.5 - 08:26.2]
SPEAKER_01,507.90096875000006,508.52534375000005,[08:27.9 - 08:28.5]
SPEAKER_01,510.02721875000003,510.07784375000006,[08:30.0 - 08:30.0]
SPEAKER_00,511.76534375000006,513.26721875,[08:31.7 - 08:33.2]
SPEAKER_01,513.03096875,513.7565937500001,[08:33.0 - 08:33.7]
SPEAKER_00,513.7565937500001,515.0559687499999,[08:33.7 - 08:35.0]
SPEAKER_01,515.0559687499999,515.95034375,[08:35.0 - 08:35.9]
SPEAKER_00,515.95034375,515.96721875,[08:35.9 - 08:35.9]
SPEAKER_01,515.96721875,516.0347187500001,[08:35.9 - 08:36.0]
SPEAKER_00,516.0347187500001,516.54096875,[08:36.0 - 08:36.5]
SPEAKER_01,516.54096875,516.5915937500001,[08:36.5 - 08:36.5]
SPEAKER_00,516.5915937500001,521.55284375,[08:36.5 - 08:41.5]
SPEAKER_01,516.76034375,518.2622187500001,[08:36.7 - 08:38.2]
SPEAKER_01,521.02971875,521.28284375,[08:41.0 - 08:41.2]
SPEAKER_00,522.85221875,524.64096875,[08:42.8 - 08:44.6]
SPEAKER_01,524.64096875,528.30284375,[08:44.6 - 08:48.3]
SPEAKER_00,526.78409375,527.72909375,[08:46.7 - 08:47.7]
SPEAKER_01,529.0959687500001,530.42909375,[08:49.0 - 08:50.4]
SPEAKER_00,529.14659375,538.0734687500001,[08:49.1 - 08:58.0]
SPEAKER_01,538.0734687500001,538.0903437500001,[08:58.0 - 08:58.0]
SPEAKER_00,538.0903437500001,538.7990937500001,[08:58.0 - 08:58.7]
SPEAKER_01,538.7990937500001,542.8490937500001,[08:58.7 - 09:02.8]
SPEAKER_00,539.0522187500001,539.6597187500001,[08:59.0 - 08:59.6]
SPEAKER_00,542.0559687500001,544.5534687500001,[09:02.0 - 09:04.5]
SPEAKER_01,543.8784687500001,545.9709687500001,[09:03.8 - 09:05.9]
SPEAKER_00,545.34659375,547.60784375,[09:05.3 - 09:07.6]
SPEAKER_01,547.7765937500001,550.3415937500001,[09:07.7 - 09:10.3]
SPEAKER_00,550.6453437499999,551.4553437500001,[09:10.6 - 09:11.4]
SPEAKER_01,550.7465937500001,557.85096875,[09:10.7 - 09:17.8]
SPEAKER_00,556.6697187500001,556.9228437500001,[09:16.6 - 09:16.9]
SPEAKER_00,559.3359687500001,561.1415937500001,[09:19.3 - 09:21.1]
SPEAKER_01,561.1415937500001,565.47846875,[09:21.1 - 09:25.4]
SPEAKER_00,565.74846875,581.32409375,[09:25.7 - 09:41.3]
SPEAKER_01,568.2122187500001,572.5659687500001,[09:28.2 - 09:32.5]
SPEAKER_01,581.32409375,581.8134687500001,[09:41.3 - 09:41.8]
SPEAKER_00,581.35784375,584.96909375,[09:41.3 - 09:44.9]
SPEAKER_01,582.58971875,588.78284375,[09:42.5 - 09:48.7]
SPEAKER_00,589.49159375,596.3428437499999,[09:49.4 - 09:56.3]
SPEAKER_01,589.5928437499999,590.8415937500001,[09:49.5 - 09:50.8]
SPEAKER_01,595.0772187499999,596.35971875,[09:55.0 - 09:56.3]
SPEAKER_00,596.35971875,596.81534375,[09:56.3 - 09:56.8]
SPEAKER_01,596.81534375,596.83221875,[09:56.8 - 09:56.8]
SPEAKER_00,596.83221875,596.96721875,[09:56.8 - 09:56.9]
SPEAKER_01,596.96721875,599.02596875,[09:56.9 - 09:59.0]
SPEAKER_00,599.6672187500001,599.6840937500001,[09:59.6 - 09:59.6]
SPEAKER_01,599.6840937500001,599.7009687500001,[09:59.6 - 09:59.7]
SPEAKER_00,599.7009687500001,604.66221875,[09:59.7 - 10:04.6]
SPEAKER_01,604.66221875,605.0503437500001,[10:04.6 - 10:05.0]
SPEAKER_00,605.0503437500001,605.1853437500001,[10:05.0 - 10:05.1]
SPEAKER_01,605.1853437500001,606.5522187500001,[10:05.1 - 10:06.5]
SPEAKER_00,606.5522187500001,607.04159375,[10:06.5 - 10:07.0]
SPEAKER_01,606.5690937500001,609.2690937500001,[10:06.5 - 10:09.2]
SPEAKER_00,608.37471875,612.9309687500001,[10:08.3 - 10:12.9]
SPEAKER_01,610.9228437500001,617.9597187500001,[10:10.9 - 10:17.9]
SPEAKER_00,618.7865937500001,621.45284375,[10:18.7 - 10:21.4]
SPEAKER_01,618.92159375,622.6003437500001,[10:18.9 - 10:22.6]
SPEAKER_00,622.98846875,624.3047187500001,[10:22.9 - 10:24.3]
SPEAKER_01,624.0009687500001,637.3659687500001,[10:24.0 - 10:37.3]
SPEAKER_00,636.6740937500001,640.55534375,[10:36.6 - 10:40.5]
SPEAKER_01,640.55534375,647.13659375,[10:40.5 - 10:47.1]
SPEAKER_00,647.13659375,649.4484687500001,[10:47.1 - 10:49.4]
SPEAKER_01,648.03096875,649.7690937500001,[10:48.0 - 10:49.7]
SPEAKER_00,649.7690937500001,649.9040937500001,[10:49.7 - 10:49.9]
SPEAKER_01,649.9040937500001,650.0390937500001,[10:49.9 - 10:50.0]
SPEAKER_00,650.0390937500001,650.0559687500001,[10:50.0 - 10:50.0]
SPEAKER_01,650.0559687500001,650.2922187500001,[10:50.0 - 10:50.2]
SPEAKER_00,650.2922187500001,653.17784375,[10:50.2 - 10:53.1]
SPEAKER_01,650.4609687500001,653.2453437500001,[10:50.4 - 10:53.2]
SPEAKER_00,653.2453437500001,653.2622187500001,[10:53.2 - 10:53.2]
SPEAKER_01,653.2622187500001,653.2959687499999,[10:53.2 - 10:53.2]
SPEAKER_00,653.2959687499999,653.65034375,[10:53.2 - 10:53.6]
SPEAKER_01,653.65034375,653.8359687500001,[10:53.6 - 10:53.8]
SPEAKER_00,653.8359687500001,654.05534375,[10:53.8 - 10:54.0]
SPEAKER_01,654.05534375,654.07221875,[10:54.0 - 10:54.0]
SPEAKER_00,654.07221875,659.2022187500002,[10:54.0 - 10:59.2]
SPEAKER_01,654.1059687500001,654.6628437500001,[10:54.1 - 10:54.6]
SPEAKER_01,657.98721875,664.2647187500002,[10:57.9 - 11:04.2]
SPEAKER_00,660.0290937500001,660.11346875,[11:00.0 - 11:00.1]
SPEAKER_00,663.1172187500001,664.28159375,[11:03.1 - 11:04.2]
SPEAKER_01,664.28159375,673.0903437500001,[11:04.2 - 11:13.0]
SPEAKER_00,674.2378437500001,681.07221875,[11:14.2 - 11:21.0]
SPEAKER_01,674.28846875,675.28409375,[11:14.2 - 11:15.2]
SPEAKER_01,678.38909375,681.29159375,[11:18.3 - 11:21.2]
SPEAKER_00,681.29159375,681.9328437500001,[11:21.2 - 11:21.9]
SPEAKER_01,681.9328437500001,683.6709687500002,[11:21.9 - 11:23.6]
SPEAKER_00,683.6709687500002,685.83096875,[11:23.6 - 11:25.8]
SPEAKER_01,684.73409375,694.9097187500001,[11:24.7 - 11:34.9]
SPEAKER_00,694.9097187500001,697.20471875,[11:34.9 - 11:37.2]
SPEAKER_01,694.94346875,695.09534375,[11:34.9 - 11:35.0]
SPEAKER_00,697.22159375,697.3059687500001,[11:37.2 - 11:37.3]
SPEAKER_01,697.3059687500001,697.9978437500001,[11:37.3 - 11:37.9]
SPEAKER_00,697.9978437500001,700.69784375,[11:37.9 - 11:40.6]
SPEAKER_01,700.1072187500001,701.3559687500001,[11:40.1 - 11:41.3]
SPEAKER_00,701.3559687500001,701.3728437500001,[11:41.3 - 11:41.3]
SPEAKER_01,701.3728437500001,703.26284375,[11:41.3 - 11:43.2]
SPEAKER_00,702.0984687499999,707.2622187500001,[11:42.0 - 11:47.2]
SPEAKER_01,707.2622187500001,708.07221875,[11:47.2 - 11:48.0]
SPEAKER_00,707.44784375,708.8315937500001,[11:47.4 - 11:48.8]
SPEAKER_01,708.8315937500001,717.58971875,[11:48.8 - 11:57.5]
SPEAKER_00,717.7078437499999,719.9015937500001,[11:57.7 - 11:59.9]
SPEAKER_01,719.6653437500001,720.13784375,[11:59.6 - 12:00.1]
SPEAKER_00,720.13784375,720.17159375,[12:00.1 - 12:00.1]
SPEAKER_01,720.30659375,721.85909375,[12:00.3 - 12:01.8]
SPEAKER_00,721.85909375,721.97721875,[12:01.8 - 12:01.9]
SPEAKER_01,721.97721875,722.09534375,[12:01.9 - 12:02.0]
SPEAKER_00,722.09534375,722.80409375,[12:02.0 - 12:02.8]
SPEAKER_01,722.80409375,723.4453437500001,[12:02.8 - 12:03.4]
SPEAKER_00,723.4453437500001,732.3215937500001,[12:03.4 - 12:12.3]
SPEAKER_01,732.3215937500001,732.4397187500001,[12:12.3 - 12:12.4]
SPEAKER_00,732.4397187500001,732.96284375,[12:12.4 - 12:12.9]
SPEAKER_01,732.96284375,733.1315937500001,[12:12.9 - 12:13.1]
SPEAKER_00,733.1315937500001,733.9584687500001,[12:13.1 - 12:13.9]
SPEAKER_01,733.9584687500001,734.02596875,[12:13.9 - 12:14.0]
SPEAKER_00,734.02596875,734.3972187500001,[12:14.0 - 12:14.3]
SPEAKER_01,734.3972187500001,734.78534375,[12:14.3 - 12:14.7]
SPEAKER_00,734.78534375,734.8022187500001,[12:14.7 - 12:14.8]
SPEAKER_01,734.8022187500001,734.9540937500001,[12:14.8 - 12:14.9]
SPEAKER_00,734.9540937500001,734.9709687500001,[12:14.9 - 12:14.9]
SPEAKER_01,734.9709687500001,735.47721875,[12:14.9 - 12:15.4]
SPEAKER_00,734.9878437500001,735.5109687500001,[12:14.9 - 12:15.5]
SPEAKER_01,735.5109687500001,744.5559687500001,[12:15.5 - 12:24.5]
SPEAKER_00,742.34534375,743.35784375,[12:22.3 - 12:23.3]
SPEAKER_01,744.85971875,744.9272187500001,[12:24.8 - 12:24.9]
SPEAKER_00,744.9272187500001,745.3659687500001,[12:24.9 - 12:25.3]
SPEAKER_01,745.3659687500001,745.3997187500001,[12:25.3 - 12:25.3]
SPEAKER_00,745.3997187500001,745.46721875,[12:25.3 - 12:25.4]
SPEAKER_01,745.46721875,745.48409375,[12:25.4 - 12:25.4]
SPEAKER_00,745.48409375,745.5178437500001,[12:25.4 - 12:25.5]
SPEAKER_01,745.5178437500001,745.5347187500001,[12:25.5 - 12:25.5]
SPEAKER_00,745.5347187500001,747.17159375,[12:25.5 - 12:27.1]
SPEAKER_01,745.5515937499999,749.50034375,[12:25.5 - 12:29.5]
SPEAKER_00,747.2053437500001,749.5847187500001,[12:27.2 - 12:29.5]
SPEAKER_01,749.5847187500001,749.82096875,[12:29.5 - 12:29.8]
SPEAKER_00,749.82096875,749.83784375,[12:29.8 - 12:29.8]
SPEAKER_01,749.83784375,749.93909375,[12:29.8 - 12:29.9]
SPEAKER_00,749.93909375,749.95596875,[12:29.9 - 12:29.9]
SPEAKER_01,749.95596875,749.97284375,[12:29.9 - 12:29.9]
SPEAKER_00,749.97284375,750.36096875,[12:29.9 - 12:30.3]
SPEAKER_01,750.36096875,751.9640937500001,[12:30.3 - 12:31.9]
SPEAKER_00,750.47909375,752.62221875,[12:30.4 - 12:32.6]
SPEAKER_01,752.8584687500002,755.6259687500001,[12:32.8 - 12:35.6]
SPEAKER_00,753.6515937500001,760.67159375,[12:33.6 - 12:40.6]
SPEAKER_01,760.67159375,768.51846875,[12:40.6 - 12:48.5]
SPEAKER_00,762.5109687500001,762.5447187500001,[12:42.5 - 12:42.5]
SPEAKER_00,768.51846875,768.9740937500001,[12:48.5 - 12:48.9]
SPEAKER_01,768.9740937500001,779.18346875,[12:48.9 - 12:59.1]
SPEAKER_00,773.83409375,774.7453437500001,[12:53.8 - 12:54.7]
SPEAKER_00,779.18346875,779.6897187500001,[12:59.1 - 12:59.6]
SPEAKER_01,779.6897187500001,782.2547187499999,[12:59.6 - 13:02.2]
SPEAKER_00,782.45721875,784.3472187500001,[13:02.4 - 13:04.3]
SPEAKER_01,783.99284375,787.04721875,[13:03.9 - 13:07.0]
SPEAKER_00,787.3172187499999,787.38471875,[13:07.3 - 13:07.3]
SPEAKER_01,787.38471875,789.34221875,[13:07.3 - 13:09.3]
SPEAKER_00,787.4353437500001,789.4097187500001,[13:07.4 - 13:09.4]
SPEAKER_01,789.4097187500001,790.45596875,[13:09.4 - 13:10.4]
SPEAKER_00,790.45596875,790.87784375,[13:10.4 - 13:10.8]
SPEAKER_01,790.87784375,791.0634687500001,[13:10.8 - 13:11.0]
SPEAKER_00,791.0634687500001,791.97471875,[13:11.0 - 13:11.9]
SPEAKER_01,791.97471875,798.43784375,[13:11.9 - 13:18.4]
SPEAKER_00,797.59409375,798.64034375,[13:17.5 - 13:18.6]
SPEAKER_01,799.3490937500001,807.44909375,[13:19.3 - 13:27.4]
SPEAKER_00,805.47471875,830.53409375,[13:25.4 - 13:50.5]
SPEAKER_01,830.53409375,838.8872187500001,[13:50.5 - 13:58.8]
SPEAKER_00,838.8872187500001,845.4853437500001,[13:58.8 - 14:05.4]
SPEAKER_01,839.1909687500001,851.61096875,[13:59.1 - 14:11.6]
